Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20171126;15;1626,156;
20171126;16;1657,973;
20171126;17;1818,714;
20171126;18;1908,636;
20171126;19;2078,640;
20171126;20;2153,963;
20171126;21;2108,240;
20171126;22;2135,737;
20171126;23;2103,190;
20171126;24;2182,412;
20171127;1;2161,837;
20171127;2;2138,366;
20171127;3;2117,003;
20171127;4;2093,701;
20171127;5;2115,651;
20171127;6;2099,617;
20171127;7;2031,691;
20171127;8;1969,668;
20171127;9;1950,390;
20171127;10;1962,301;
20171127;11;1885,652;
20171127;12;1820,655;
20171127;13;1761,139;
20171127;14;1732,002;
20171127;15;1913,876;
20171127;16;2022,078;
20171127;17;2449,049;
20171127;18;3031,201;
20171127;19;3536,074;
20171127;20;3779,653;
20171127;21;3896,413;
20171127;22;3854,302;
20171127;23;3928,849;
20171127;24;3921,329;
20171128;1;3780,928;
20171128;2;3678,864;
20171128;3;3694,103;
20171128;4;3689,904;
20171128;5;3614,839;
20171128;6;3558,237;
20171128;7;3529,941;
20171128;8;3254,114;
20171128;9;3104,085;
20171128;10;2949,591;
20171128;11;2814,039;
20171128;12;2514,439;
20171128;13;2260,026;
20171128;14;2162,525;
20171128;15;2102,776;
20171128;16;2165,437;
20171128;17;2178,264;
20171128;18;2279,827;
20171128;19;2260,990;
20171128;20;2196,788;
20171128;21;2071,488;
20171128;22;1924,452;
20171128;23;1744,338;
20171128;24;1673,662;
20171129;1;1607,880;
20171129;2;1558,488;
20171129;3;1515,553;
20171129;4;1471,002;
20171129;5;1428,505;
20171129;6;1449,615;
20171129;7;1293,225;
20171129;8;1135,597;
20171129;9;1064,875;
20171129;10;838,566;
20171129;11;615,339;
20171129;12;484,589;
20171129;13;394,536;
20171129;14;340,263;
20171129;15;319,624;
20171129;16;376,378;
20171129;17;479,877;
20171129;18;599,349;
20171129;19;685,361;
20171129;20;621,690;
20171129;21;599,399;
20171129;22;523,440;
20171129;23;503,288;
20171129;24;442,724;
20171130;1;375,461;
20171130;2;325,112;
20171130;3;263,260;
20171130;4;304,199;
20171130;5;340,737;
20171130;6;387,463;
20171130;7;381,726;
20171130;8;398,650;
20171130;9;424,188;
20171130;10;396,264;
20171130;11;447,437;
20171130;12;503,873;
20171130;13;525,975;
20171130;14;578,509;
20171130;15;628,350;
20171130;16;697,961;
20171130;17;747,556;
20171130;18;765,095;
20171130;19;829,521;
20171130;20;871,614;
20171130;21;936,051;
20171130;22;1044,224;
20171130;23;1202,787;
20171130;24;1352,588;
